Type,Name,Country,Tags
Cultural,St Mark's Basilica,Italy,"Architecture,Byzantine,Gothic,Church,Cathedral,Christianity"
Cultural,Uffizi,Italy,"Architecture,Renaissance,Art,Museum"
Cultural,Medici Villas and Gardens in Tuscany,Italy,"Architecture,Renaissance,Countryside,Road Trip,Gardens"
Cultural,San Gimignano,Italy,"Architecture,Medieval,Old Town"
Cultural,Historic Centre of Siena,Italy,"Architecture,Medieval,Old Town"
Cultural,Cinque Terre,Italy,"Terraces,Villages,Trekking,Seascape"
Cultural,Borghese Gallery,Italy,Art Gallery
Cultural,Catacomb of Callixtus,Italy,Tomb
Natural,Italian Lake District,Italy,Lake
Cultural,"Pantheon, Rome",Italy,"Architecture,Roman,Temple,Ancient"
Cultural,Palazzo Pitti,Italy,"Architecture,Renaissance,Museum,Art"
Cultural,Roman Forum,Italy,"Archaeological site,Ruins,Roman,Ancient"
Cultural,Santa Maria delle Grazie (Milan),Italy,"Architecture,Gothic,Church,Chrisianity"
Cultural,Alberobello's Trulli,Italy,Houses
Cultural,Herculaneum,Italy,"Archaeological site,Ruins,Roman"
Cultural,Valle dei Templi,Italy,"Archaeological site,Ruins,Roman"
Cultural,Paestum,Italy,"Archaeological site,Ruins,Greek"
Cultural,Assisi,Italy,"Architecture,Medieval,Old Town"
Cultural,Villa d'Este,Italy,"Architecture,Renaissance,Villa,Garden"
Cultural,Ancient Syracuse,Italy,"Architecture,Greek"
Natural,Mount Etna,Italy,"Mountain,Volcano"
Cultural,Gallery of the Academy of Florence,Italy,"Art Gallery,Museum"
Cultural,Bargello,Italy,Museum
Cultural,Bergamo Upper Town,Italy,"Medieval,Old Town"
Cultural,Capri,Italy,Island
Cultural,Castel Sant'Angelo,Italy,"Castle,Tomb"
Cultural,Doges' Palace,Italy,"Architecture,Gothic,Palace,Museum"
Cultural,La Scala,Italy,Opera House
Cultural,Medici Chapels,Italy,"Architecture,Renaissance,Mannerist,Christianity,Chapel,"
Cultural,Milan Cathedral,Italy,"Architecture,Gothic,Christianity,Cathedral"
Natural,Mount Vesuvius,Italy,Mountain
Cultural,"San Marco, Florence",Italy,"Museum,Art"
Cultural,Orvieto,Italy,"Architecture,Old Town,Fortification"
Cultural,Ostia Antica,Italy,"Archaeological site,Roman,Ancient"
Cultural,Piazza della Signoria,Italy,"Architecture,Romanesque,Square"
Cultural,Ponte Vecchio,Italy,"Bridge,Medieval"
Cultural,Positano,Italy,Village
Cultural,Basilica of Sts. Vitalis,Italy,"Christianity,Church,Ancient"
Cultural,Spanish Steps,Italy,"Architecture,Baroque,Stairways,Square"
Cultural,Piazza San Marco,Italy,"Architecture,Renaissance,Square"
Cultural,Taormina,Italy,"Archaeological site,Greek,Ancient,Old Town"
Cultural,Trevi Fountain,Italy,"Architecture,Baroque,Fountain"
Cultural,Basilica of Our Lady of Peace,Ivory Coast,"Architecture,Renaissance,Baroque,Church,Christianity"
Natural,Dunn's River Falls,Jamaica,Waterfall
Cultural,Kinkaku-ji - Golden Pavilion,Japan,"Temple,Buddhism"
Cultural,Himeji-jo,Japan,"Castle,Fortification"
Cultural,Kyoto,Japan,Old Town
Cultural,Nara,Japan,Old Town
Cultural,Shrines and Temples of Nikko,Japan,"Temple,Buddhism,Shrine,Shinto"
Cultural,Mount Fuji,Japan,Mountain
Cultural,The Great Buddha of Kamakura,Japan,"Statue,Buddhism"
Cultural,Horyu-ji Temple,Japan,"Temple,Buddhism"
Cultural,Asakusa Shrine,Japan,"Shrine,Shinto"
Cultural,Byodo-in,Japan,"Temple,Buddhism"
Cultural,Chion-in Temple,Japan,"Temple,Buddhism"
Cultural,Fushimi Inari-taisha,Japan,"Shrine,Shinto"
Cultural,Kasuga-taisha,Japan,"Shrine,Shinto"
Cultural,Kiyomizu-dera,Japan,"Temple,Buddhism"
Cultural,Kyoto National Museum,Japan,"Museum,Art"
Cultural,Nijo Castle,Japan,"Castle,Fortification"
Cultural,Nishi Honganji,Japan,"Temple,Buddhism"
Cultural,Osaka Castle,Japan,"Castle,Fortification"
Cultural,Ryoan-ji,Japan,"Garden,Rock Art,Temple,Buddhism"
Cultural,Sanjusangen-do,Japan,"Temple,Buddhism"
Cultural,Shibuya at night,Japan,District
Cultural,Todai-ji,Japan,"Temple,Buddhism"
Cultural,Tsukiji fish market,Japan,Market
Cultural,Tokyo National Museum,Japan,"Museum,Art"
Cultural,Ushiku Great Buddha,Japan,"Statue,Buddhism"
Natural,Arashiyama Bamboo Forest,Japan,"Forest,Park"
Cultural,Petra,Jordan,"Archaelogical Site,Rock Art,Tombs"
Cultural,Quseir Amra,Jordan,"Architecture,Arabic,Castle,Foritification"
Mixed,Wadi Rum,Jordan,"Reserve,Landform"
Cultural,Jerash,Jordan,"Archaelogical Site,Ruins,Ancient,Roman"
Cultural,Madaba Mosaics,Jordan,Archaelogical Site
Natural,Mount Kenya National Park,Kenya,"Park,Mountain,Wildlife"
Cultural,Lamu Old Town,Kenya,Old Town
Natural,Great Rift Valley,Kenya,"Landform,Rift,Wildlife"
Natural,Amboseli National Park,Kenya,"Park,Wildlife"
Natural,Meru National Park,Kenya,"Park,Wildlife"
Natural,Nairobi National Park,Kenya,"Park,Wildlife"
Natural,Thompson's Falls,Kenya,Waterfall
Cultural,Treetops Hotel,Kenya,Hotel
Natural,Tsavo National Park,Kenya,"Park,Wildlife"
Natural,Issyk Kul Lake,Kyrgyzstan,Lake
Cultural,Luang Prabang,Laos,"Architecture,Colonial,Town"
Cultural,Plain of Jars,Laos,"Archaelogical Site,Megaliths"
Cultural,That Luang,Laos,"Temple,Buddhism"
Cultural,Baalbek,Lebanon,"Archaelogical Site,Ruins,Ancient,Roman"
Cultural,Byblos,Lebanon,"Archaelogical Site,Old Town,Ancient,Port"
Cultural,Tyre,Lebanon,"Archaelogical Site,Ancient,Port"
Cultural,Corniche Beirut,Lebanon,Promenade
Natural,Jeita Grotto,Lebanon,Cave
Cultural,Sidon Old Town,Lebanon,"Old Town,Medieval"
Cultural,Leptis Magna,Libya,"Archaelogical Site,Ruins,Ancient,Roman,Amphitheatre"
Cultural,Sabratha,Libya,"Archaelogical Site,Ruins,Ancient,Roman"
Cultural,Cyrene,Libya,"Archaelogical Site,Ruins,Ancient,Greek,Roman,Amphitheatre"
Cultural,Rock-Art Sites of Tadrart Acacus,Libya,Rock Art
Cultural,Old Town of Ghadamès,Libya,"Old Town,Oasis"
Cultural,Red Castle Museum,Libya,Museum
Cultural,Tripoli Medina Quarter,Libya,Old Town
Cultural,Vilnius Old Town,Lithuania,Old Town
Cultural,Luxembourg  Old Town,Luxembourg,"Old Town,Fortifications"
Mixed,Ohrid,Macedonia,"Old Town,Archeological Site"
Natural,Masoala National Park,Madagascar,"Park,Forest,Rainforest,Wildlife"
Natural,Ranomafana National Park,Madagascar,"Park,Forest,Rainforest,Wildlife"
Natural,Lake Malawi National Park,Malawi,"Park,Wildlife,Lake"
Cultural,Petronas Towers,Malaysia,"Architecture,Tower"
Cultural,Sipadan Island,Malaysia,"Island,Scuba Diving,Marine Life"
Cultural,George Town,Malaysia,"Architecture,Colonial"
Cultural,Batu Caves,Malaysia,"Cave,Temple,Hinduism"
Cultural,Djenné Old Town,Mali,"Architecture,Afrikan,Old Town,Islam"
Cultural,Timbuktu,Mali,"Old Town,Islam"
Mixed,Bandiagara Escarpment,Mali,"Archaelogical Site,Landform,Cliff"
Cultural,Mount Hombori,Mali,Mountain
Cultural,Grand Mosque of Mopti,Mali,"Architecture,Mosque,Islam"
Cultural,Valletta,Malta,"Architecture,Baroque,Old Town"
Cultural,Hagar Qim,Malta,Temple
Cultural,Mdina,Malta,"Old Town,Fortifications"
Cultural,"Victoria, Gozo",Malta,Old Town
Cultural,Ancient Chinguetti,Mauritania,"Old Town,Ancient"
Cultural,Chichen Itza,Mexico,"Archaelogical Site,Maya"
Cultural,Teotihuacan,Mexico,"Archaelogical Site,Architecture,Megaliths,Ruins"
Cultural,Palenque,Mexico,"Archaelogical Site,Maya"
Cultural,Monte Albán,Mexico,"Archaelogical Site,Ruins"
Cultural,Uxmal,Mexico,"Archaelogical Site,Maya"
Mixed,Calakmul,Mexico,"Archaelogical Site,Maya"
Cultural,San Miguel de Allende,Mexico,"Architecture,Baroque,Old Town"
Cultural,Mitla,Mexico,"Archaelogical Site,Tombs,Mosaics"
Cultural,Acapulco,Mexico,"Resorts,City,Port"
Natural,Copper Canyon,Mexico,Canyon
Cultural,National Museum of Anthropology,Mexico,Museum
Cultural,Parque-Museo La Venta,Mexico,Museum
Cultural,Taxco,Mexico,"Architecture,Colonial,Old Town"
Cultural,Nan Madol,Micronesia,"Archaelogical Site,Ruins"
Cultural,Monaco Grand Prix,Monaco,Sport
Cultural,Monte Carlo Casino,Monaco,"Entertainment,Casino"
Natural,Khövsgöl Nuur,Mongolia,Lake
Cultural,Kotor,Montenegro,"Old Town,Fortifications"
Cultural,Marrakesh Medina,Morocco,"Old Town,Markets"
Cultural,Fez Medina,Morocco,Old Town
Cultural,Meknes,Morocco,"Old Town,Fortifications"
Cultural,Medina of Tétouan,Morocco,Old Town
Cultural,Tangiers Medina,Morocco,"Old Town,Fortifications"
Cultural,Ouarzazate,Morocco,"Old Town,Fortifications"
Cultural,Island of Mozambique,Mozambique,"Architecture,Colonial,Fortification"
Cultural,Bagan,Myanmar,"Architecture,Old Town,Buddhism,Temples"
Cultural,Shwedagon Pagoda,Myanmar,"Architecture,Buddhism,Pagoda,Stupa"
Cultural,Kuthodaw Pagoda,Myanmar,"Architecture,Buddhism,Pagoda,Stupa"
Cultural,Mount Popa,Myanmar,"Mountain,Hiking,Buddhism"
Natural,Inle Lake,Myanmar,Lake
Cultural,Mandalay Palace,Myanmar,"Architecture,Palace"
Cultural,Monywa,Myanmar,"Architecture,Buddhism,Temples"
Natural,Mergui Archipelago,Myanmar,"Islands,Scuba Diving,Snorkeling"
Cultural,Shwenandaw Monastery,Myanmar,"Architecture,Monastery,Buddhism"
Natural,Namib Desert,Namibia,Desert
Natural,Etosha National Park,Namibia,"Park,Wild Life"
Natural,Fish River Canyon,Namibia,Canyon
Natural,Skeleton Coast,Namibia,"Landscape,Sand Dune"
Cultural,Kathmandu Valley,Nepal,"Architecture,Hindu,Temples"
Cultural,Lumbini,Nepal,"Architecture,Temple,Buddhism"
Natural,Sagarmatha National Park,Nepal,"Park,Wild Life"
Cultural,Canals of Amsterdam,Netherlands,Canals
Cultural,Aalsmeer Flower Auction,Netherlands,Market
Cultural,Keukenhof Gardens,Netherlands,Garden
Cultural,Rijksmuseum,Netherlands,Museum
Cultural,Madurodam Miniature Park,Netherlands,Amusement Park
Cultural,Royal Palace of Amsterdam,Netherlands,"Palace,Architecture,Classicism"
Cultural,Alkmaar Cheese Market,Netherlands,Market
Natural,New Caledonia Island,New Caledonia,"Island,Scuba Diving,Snorkeling,Marine Life"
Natural,Fiordland National Park,New Zealand,"Park,Wildlife"
Natural,Poor Knights Islands,New Zealand,"Islands,Scuba Diving"
Natural,Rotorua Geothermal Area,New Zealand,"Geothermal,Hot Springs,Geyser"
Natural,Waitomo Caves,New Zealand,Caves
Cultural,Kaesong Old Town,North Korea,"Old Town,Architecture,Confucianism"
Natural,Mount Kumgang,North Korea,Mountain
Natural,West Norwegian Fjords - Geirangerfjord and Nærøyfjord,Norway,Fjord
Cultural,Spitsbergen / Svalbard,Norway,"Island,Wildlife"
Cultural,Urnes Stave Church,Norway,"Architecture,Christianity,Church"
Cultural,Bryggen,Norway,"Old Town,Architecture,Buildings"
Cultural,Akershus Fortress,Norway,"Architecture,Castle,Fortress,Fortification"
Cultural,National Gallery of Norway,Norway,Art Gallery
Cultural,Bahla Fort,Oman,"Architecture,Fortress,Fortification"
Cultural,Musandam fjord cruise,Oman,"Cruise,Fjord"
Cultural,Sultan Qaboos Grand Mosque,Oman,"Architecture,Islam,Mosque"
Cultural,Archaeological Ruins at Moenjodaro,Pakistan,"Archaelogical Site,Ruins"
Cultural,Taxila,Pakistan,"Archaelogical Site,Ruins,Buddhism,Stupa"
Cultural,Fort and Shalamar Gardens in Lahore,Pakistan,"Gardens,Fortifications"
Cultural,Rohtas Fort,Pakistan,"Archaelogical Site,Fortifications"
Cultural,Badshahi Mosque,Pakistan,"Architecture,Islam,Mosque"
Cultural,Tomb of Jahangir,Pakistan,"Architecture,Mausoleum,Tomb"
Natural,Hunza Valley,Pakistan,Valley
Natural,K2 Mountain,Pakistan,Mountain
Natural,Khyber Pass,Pakistan,Route
Cultural,Panama Canal,Panama,Canal
Mixed,Sepik River,Papua New Guinea,River
Natural,Wuvulu Island,Papua New Guinea,Island
Mixed,Machu Picchu,Peru,"Archaelogical Site,Citadel,Ruins"
Cultural,City of Cuzco,Peru,"Archaelogical Site,Old Town,Architecture,Colonial"
Cultural,Nazca Lines,Peru,"Archaelogical Site,Geoglyphs,Land Art"
Cultural,Chavin de Huantar,Peru,"Archaelogical Site,Ruins"
Cultural,Chan Chan,Peru,"Archaelogical Site,Ancient,Ruins"
Cultural,Banaue Rice Terraces,Philippines,Terraces
Natural,Puerto Princesa Undeground River,Philippines,"Park,River"
Natural,Tubbataha Reefs Natural Park,Philippines,"Park,Wildlife,Island,Marine Life,Snorkeling,Scuba Diving"
Natural,Chocolate Hills,Philippines,"Landform,Hills"
Natural,Mayon Volcano,Philippines,"Park,Volcano"
Natural,Pamalican Island,Philippines,"Island,Resort,Scuba Diving"
Natural,Taal Volcano,Philippines,Volcano
Cultural,Wieliczka Salt Mine,Poland,Mine
Cultural,Kraków Old Town,Poland,"Architecture,Old Town,Medieval,Square"
Cultural,Warsaw Old Town,Poland,"Architecture,Old Town,Medieval,Square"
Cultural,Old City of Zamosc,Poland,"Architecture,Old Town,Renaissance"
Cultural,Malbork Castle,Poland,"Architecture,Castle,Fortress,Fortification,Medieval"
Cultural,Gdansk Old Town,Poland,"Architecture,Old Town,Port,Medieval"
Cultural,Lublin Old Town,Poland,"Architecture,Old Town,Renaissance"
Cultural,Wawel Castle,Poland,"Architecture,Castle,Renaissance"
Cultural,Sintra,Portugal,"Architecture,Manueline,Old Town"
Cultural,Angra do Heroismo in the Azores,Portugal,"Architecture,Old Town,Medieval"
Cultural,Belém Tower,Portugal,"Architecture,Tower,Fortification"
Cultural,Jerónimos Monastery,Portugal,"Architecture,Manueline,Christianity,Monastery"
Cultural,Historic Centre of Évora,Portugal,"Architecture,Old Town,Roman,Ancient"
Cultural,Alcobaça Monastery,Portugal,"Architecture,Gothic,Christianity,Monastery"
Cultural,Historic Centre of Porto,Portugal,"Architecture,Medieval,Old Town"
Cultural,Douro Valley,Portugal,"Valley,Wine"
Cultural,Landscape of the Pico Island Vineyard Culture,Portugal,"Wine,Landscape"
Cultural,Alfama,Portugal,Old Town
Natural,Algarve Coast,Portugal,Landscape
Natural,Madeira Islands,Portugal,"Islands,Snorkeling,Scuba Diving,Hiking"
Cultural,Obidos Castle & Village,Portugal,"Castle,Fortification,Village,Medieval"
Cultural,Palace of Queluz,Portugal,"Palace,Architecture,Rococo,Renaissance"
Cultural,São Jorge Castle,Portugal,"Castle,Citadel,Fortification,Medieval"
Cultural,Bulguksa,Republic of Korea,"Architecture,Temple,Buddhism"
Cultural,Seokguram,Republic of Korea,"Architecture,Cave,Temple,Buddhism,Statue"
Cultural,Haeinsa Temple,Republic of Korea,"Architecture,Buddhism,Temple"
Cultural,Jongmyo Shrine,Republic of Korea,"Architecture,Buddhism,Shrine"
Cultural,Changdeokgung Palace,Republic of Korea,"Architecture,Palace"
Cultural,Gyeongbokgung,Republic of Korea,"Architecture,Palace"
Natural,Seoraksan,Republic of Korea,"Mountain,Hiking"
Cultural,Beopjusa,Republic of Korea,"Architecture,Buddhism,Temple"
Natural,Maldive Islands,Republic of Maldives,"Island,Scuba Diving,Snorkeling,Marine Life"
Cultural,Villages with Fortified Churches in Transylvania,Romania,"Architecture,Villages,Fortification,Churches,Christianity"
Natural,Southern Carpathians - Transylvanian Alps,Romania,Mountains
Cultural,Hermitage Museum,Russian Federation,"Museum,Art Gallery"
Cultural,Moscow Kremlin,Russian Federation,"Architecture,Fortification"
Cultural,St Basil's Cathedral,Russian Federation,"Architecture,Cathedral,Church,Christianity"
Cultural,Catherine Palace,Russian Federation,"Architecture,Palace,Rococo"
Cultural,Church of the Savior on Blood,Russian Federation,"Architecture,Romantic,Church,Cathedral,Christianity"
Cultural,Peterhof Palace,Russian Federation,"Architecture,Palace,Gardens,Baroque"
Cultural,Saint Petersburg Center,Russian Federation,"Architecture,Old Town"
Cultural,Kizhi Pogost,Russian Federation,"Architecture,Churches,Christianity"
Cultural,Veliky Novgorod,Russian Federation,"Architecture,Old Town"
Cultural,White Monuments of Vladimir and Suzdal,Russian Federation,"Architecture,Churches,Christianity"
Cultural,Trinity Lavra of St. Sergius,Russian Federation,"Architecture,Monastery,Christianity"
Natural,Lake Baikal,Russian Federation,"Lake,Wildlife"
Natural,Volcanoes of Kamchatka,Russian Federation,Volcanos
Natural,Valley of Geysers,Russian Federation,"Valley,Geysers,Srping"
Cultural,Historical Centre of the City of Yaroslavl,Russian Federation,"Architecture,Old Town"
Cultural,Mayakovskaya Metro Station,Russian Federation,"Architecture,Stalinist,Station"
Cultural,Peter and Paul Fortress,Russian Federation,"Architecture,Citadel,Fortification"
Cultural,Trans-Siberian Railroad Trip,Russian Federation,"Railroad,Train Trip"
Cultural,Volga River Cruise,Russian Federation,Cruise
Natural,Volcanoes National Park,Rwanda,Wildlife
Cultural,Saba Airport,Saba,Airport
Cultural,Gustavia,Saint Barthelemy,"Architecture,Colonial,Old Town"
Natural,Pitons,Saint Lucia,"Volcanoes,Mountains"
Natural,Upolu,Samoa,"Island,Marine Life,Scuba Diving,Snorkelling,Beaches"
Cultural,San Marino,San Marino,"Old Town,Fortifications"
Cultural,Mecca,Saudi Arabia,"Old Town,Islam"
Cultural,Mada'in Saleh,Saudi Arabia,"Archaeological Site,Tombs"
Cultural,Jeddah Old Town,Saudi Arabia,"Old Town,Port"
Cultural,Hejaz Railway,Saudi Arabia,Railroad
Cultural,Medina,Saudi Arabia,"Old Town,Islam"
Cultural,Island of Gorée,Senegal,"Archaeological Site,Port,Colonial"
Cultural,African Renaissance Monument,Senegal,Statue
Natural,Aldabra Atoll,Seychelles,"Island,Marine Life,Scuba Diving"
Natural,Vallée de Mai Nature Reserve,Seychelles,"Park,Wildlife"
Cultural,Marina Bay Sands,Singapore,"Resort,Casino"
Cultural,Vlkolínec,Slovakia,Village
Natural,Skocjan Caves,Slovenia,Caves
Natural,Lake Bled,Slovenia,Lake
Natural,Kruger National Park,South Africa,"Park,Wildlife"
Natural,Table Mountain National Park,South Africa,"Park,Mountain,Hiking"
Cultural,Cape Town,South Africa,Harbour
Natural,Drakensberg,South Africa,"Mountains,Hiking"
Mixed,Kimberley Hole,South Africa,Mines
Natural,Panoramic Route,South Africa,"Route,Road Trip"
Natural,Phinda Private Game Reserve,South Africa,"Wildlife,Resort"
Cultural,The Mosque-Cathedral of Córdoba,Spain,"Architecture,Moorish,Renaissance,Christianity,Cathedral"
Cultural,Alhambra,Spain,"Architecture,Foritification"
Cultural,El Escorial,Spain,"Architecture,Renaissance,Christianity,Monastery"
Cultural,Guggenheim Museum Bilbao,Spain,"Architecture,Expressionist,Museum"
Cultural,Museo del Prado,Spain,"Architecture,Neoclassical,Museum"
Cultural,Aqueduct of Segovia,Spain,"Aqueduct,Roman"
Cultural,Alcázar of Segovia,Spain,"Architecture,Castle,Foritification"
Cultural,Burgos Cathedral,Spain,"Architecture,Gothic,Christianity,Cathedral"
Cultural,Sagrada Família,Spain,"Architecture,Modernisme,Basilica"
Cultural,Old Town of Santiago de Compostela,Spain,Old Town
Cultural,The Walls of Ávila,Spain,"Old Town,Fortifications"
Cultural,Old Town of Toledo,Spain,"Old Town,Roman,Medieval"
Cultural,Old City of Salamanca,Spain,"Old Town,Ancient,Roman,University"
Cultural,Seville Cathedral & Giralda Tower,Spain,"Architecture,Gothic,Christianity,Cathedral"
Cultural,Alcázar of Seville,Spain,"Architecture,Mudejar,Palace"
Mixed,Ibiza,Spain,Island
Cultural,Town of Cuenca,Spain,"Architecture,Old Town,Foritification"
Cultural,Ronda,Spain,"Architecture,Islamic,Old Town"
Mixed,Canary Islands,Spain,"Islands,Fishing"
Mixed,Costa del Sol,Spain,"Beach,Landscape"
Cultural,Barcelona Gothic Quarter,Spain,"Architecture,Gothic,Old Town"
Cultural,Plaza Mayor of Madrid,Spain,"Architecture,Renaissance,Square"
Cultural,Pamplona,Spain,"Old Town,Medieval"
Cultural,Royal Palace of Madrid,Spain,"Architecture,Palace,Baroque,Classicism"
Cultural,Sigiriya,Sri Lanka,"Archaeological Site,Ancient,Fortification"
Cultural,Anuradhapura,Sri Lanka,"Archaeological Site,Buddhism,Ancient"
Cultural,Kandy,Sri Lanka,"Buddhism,Old Town"
Cultural,Dambulla Cave Temple,Sri Lanka,"Archaeological Site,Temple,Buddhism,Cave"
Cultural,Jebel Barkal,Sudan,"Archaeological Site,Ruins,Tombs"
Cultural,Archaeological Sites of the Island of Meroe,Sudan,"Archaeological Site,Ancient,Ruins,Tombs"
Cultural,Old Town of Khartoum,Sudan,Old Town
Cultural,Drottningholm Palace,Sweden,Palace
Cultural,Hanseatic Town of Visby,Sweden,"Architecture,Romanesque,Old Town,Medieval,Viking"
Mixed,Laponian Area,Sweden,"Reserve,Wildlife"
Cultural,Kalmar Castle,Sweden,"Castle,Fortifications"
Cultural,Swedish History Museum,Sweden,"Architecture,Modernist,Museum"
Cultural,Skansen,Sweden,Museum
Natural,Stockholm Archipelago,Sweden,"Islands,Landforms"
Cultural,Gamla stan,Sweden,"Old Town,Medieval"
Natural,Matterhorn,Switzerland,"Mountain,Trekking"
Cultural,Old City of Berne,Switzerland,"Old Town,Medieval"
Cultural,Chillon Castle,Switzerland,"Castle,Fortification,Medieval"
Cultural,Fribourg Old Town,Switzerland,"Old Town,Roman,Medieval"
Cultural,Gstaad,Switzerland,"Village,Hiking,Skiing"
Cultural,Jungfrau Railway,Switzerland,"Railroad,Train Trip"
Cultural,Lucerne Covered Bridges,Switzerland,Bridges
Cultural,Palace of Nations,Switzerland,"Architecture,Classicism,Palace"
Cultural,Thun Castle,Switzerland,"Castle,Fortification"
Cultural,Altstadt (Zürich),Switzerland,"Old Town,Medieval"
Cultural,Damascus Old City,Syrian Arab Republic,"Old Town,Architecture,Ottoman"
Cultural,Palmyra,Syrian Arab Republic,"Ancient,Roman,Ruins"
Cultural,Ancient City of Aleppo,Syrian Arab Republic,"Old Town,Fortifications"
Cultural,Bosra Amphitheatre,Syrian Arab Republic,"Ancient,Roman,Amphitheatre,Ruins"
Cultural,Krak des Chevaliers,Syrian Arab Republic,"Architecture,Fortification,Castle"
Cultural,Apamea,Syrian Arab Republic,"Ruins,Archaeological Site,Roman,Greek"
Cultural,Norias of Hama,Syrian Arab Republic,"Aqueducts,Byzantine"
Cultural,Ma'loula,Syrian Arab Republic,Village
Cultural,Qanawat Roman Ruins,Syrian Arab Republic,"Ruins,Archaeological Site,Roman"
Natural,Serengeti National Park,Tanzania,"Park,Wildlife"
Mixed,Ngorongoro Conservation Area,Tanzania,"Reserve,Crater,Wildlife,Volcano"
Cultural,Stone Town,Tanzania,"Architecture,Colonial,Old Town"
Natural,Kilimanjaro National Park,Tanzania,"Park,Mountain,Wildlife"
Natural,Selous Game Reserve,Tanzania,"Reserve,Wildlife"
Natural,Arusha National Park,Tanzania,"Park,Wildlife"
Cultural,Dar Es Salaam Village Museum,Tanzania,Museum
Natural,Lake Manyara National Park,Tanzania,"Park,Wildlife"
Natural,Tarangire National Park,Tanzania,"Park,Wildlife"
Natural,Zanzibar Coral Reefs,Tanzania,"Beaches,Island,Marine Life,Scuba Diving,Snorkelling"
Cultural,Temple of the Emerald Buddha,Thailand,"Temple,Buddhism"
Cultural,Chiang Mai,Thailand,Old Town
Natural,Phi Phi Islands,Thailand,"Island,Scuba Diving"
Cultural,Grand Palace,Thailand,"Architecture,Thai,Palace"
Cultural,Wat Arun,Thailand,"Temple,Buddhism"
Cultural,Sukhothai Historical Park,Thailand,"Archaeological Site,Ruins"
Cultural,Historic City of Ayutthaya,Thailand,"Archaeological Site,Ruins"
Cultural,Bangkok Floating Markets,Thailand,Market
Cultural,Golden Buddha Statue,Thailand,Statue
Natural,Phang Nga Bay,Thailand,"Landform,Bay"
Natural,Phuket,Thailand,Island
Cultural,Phanom Rung Historical Park,Thailand,"Architecture,Khmer,Temple,Hindu"
Cultural,Phimai Historical Park,Thailand,"Architecture,Khmer,Temple,Buddhism"
Cultural,Temple of the Reclining Buddha,Thailand,"Temple,Buddhism"
Cultural,Koutammakou,Togo,Village
Natural,Vava'u,Tonga,"Island,Scuba Diving,Marine Life"
Cultural,Trinidad and Tobago Carnival,Trinidad and Tobago,"Show,Carnival,Festival"
Cultural,Medina of Tunis,Tunisia,"Architecture,Arabic,Old Town,Islam"
Cultural,Carthage,Tunisia,"Archeological Site,Ruins,Ancient"
Cultural,Kerkuane,Tunisia,"Archeological Site,Ruins,Ancient"
Cultural,Medina of Sousse,Tunisia,"Archeological Site,Old Town,Roman,Port,Ancient"
Cultural,Kairouan,Tunisia,"Archeological Site,Architecture,Arabic,Old Town,Islam"
Cultural,Dougga / Thugga,Tunisia,"Archeological Site,Ruins,Roman,Ancient"
Cultural,Matmata Underground Structures,Tunisia,Buildings
Cultural,Medenine Ksars,Tunisia,"Architecture,Berber,Fortification"
Cultural,Hagia Sophia,Turkey,"Architecture,Byzantine,Christianity,Church,Mosque"
Cultural,Topkapi Palace,Turkey,"Architecture,Ottoman,Palace,Muslim,Museum"
Mixed,Cappadocia,Turkey,"Landscape,Trekking,Rock Art"
Mixed,Pamukkale,Turkey,"Archeological Site,Hot Springs,Landform"
Cultural,Ephesus,Turkey,"Archeological Site,Ruins,Greek,Ancient"
Cultural,Blue Mosque,Turkey,"Architecture,Islam,Mosque"
Cultural,Grand Bazaar,Turkey,Market
Cultural,Divrigi,Turkey,"Architecture,Mosque"
Cultural,Nemrut Dag,Turkey,"Landform,Archeological Site,Ruins,Tomb"
Cultural,Troy,Turkey,"Architecture,Archeological Site,Ruins,Greek,Ancient"
Cultural,Pergamon,Turkey,"Archeological Site,Ruins,Greek,Roman,Ancient"
Cultural,Basilica Cistern,Turkey,"Architecture,Byzantine,Reservoir"
Cultural,Dolmabahce Palace,Turkey,"Architecture,Baroque,Palace"
Cultural,Antalya,Turkey,"Old Town,Port,Greek"
Cultural,Bodrum,Turkey,"Old Town,Port,Greek"
Cultural,Hierapolis,Turkey,"Archeological Site,Ruins,Greek,Roman,Ancient,Hot Springs"
Natural,Mount Ararat,Turkey,Mountain
Cultural,Merv,Turkmenistan,"Archeological Site,Ruins,Greek,Ancient"
Natural,Darvaza Gas Crater,Turkmenistan,"Crater,Landform"
Natural,Bwindi Impenetrable National Park,Uganda,"Park,Wildlife"
Natural,Rwenzori Mountains National Park,Uganda,"Park,Mountains"
Natural,Murchison Falls,Uganda,Waterfalls
Cultural,Saint-Sophia Cathedral,Ukraine,"Architecture,Christian,Cathedral"
Cultural,Lviv's Old Town,Ukraine,"Architecture,Old Town"
Cultural,Burj Al Arab,United Arab Emirates,"Architecture,High tech,Futurism,Postmodern,Hotel"
Cultural,Burj Khalifa,United Arab Emirates,"Architecture,Futurism,Tower"
Cultural,Sheikh Zayed Mosque,United Arab Emirates,"Mosque,Islam"
Cultural,Palm Islands,United Arab Emirates,Islands
Cultural,Ski Dubai,United Arab Emirates,"Skiing,Resort"
Cultural,World Islands,United Arab Emirates,Islands
Cultural,Aldar Headquarters,United Arab Emirates,"Architecture,Futurism,Postmodern,Building"
Cultural,Emirates Palace,United Arab Emirates,Hotel
